                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.5637,                0.77162,                0.87063,                0.87572,                 0.5979,                0.69773,                0.33945,                 1.6473,                0.79418,                0.88911,              0.0019353,              0.0019353,              0.0019353
                    100,                 1.5874,                0.75699,                 0.8867,                0.88002,                 0.5697,                0.70688,                0.37221,                 1.5548,                0.81008,                0.88893,              0.0019347,              0.0019347,              0.0019347
                    101,                 1.6021,                 0.7685,                0.85296,                0.79738,                0.59627,                0.69872,                0.35411,                 1.5894,                0.81187,                0.88354,               0.001934,               0.001934,               0.001934
                    102,                 1.4171,                0.69583,                 0.8596,                0.80214,                0.61426,                0.69058,                0.34563,                 1.6351,                0.79519,                0.87727,              0.0019333,              0.0019333,              0.0019333
                    103,                 1.4292,                0.71427,                 0.8575,                0.80377,                0.64242,                0.71511,                0.37778,                 1.4881,                0.71377,                0.86887,              0.0019327,              0.0019327,              0.0019327
                    104,                 1.4951,                0.74472,                0.87242,                 0.7981,                0.63636,                0.72071,                0.35377,                 1.6863,                0.74508,                0.89131,               0.001932,               0.001932,               0.001932
                    105,                 1.5877,                0.79144,                0.86644,                0.75835,                0.53333,                0.62396,                0.26514,                 2.0011,                0.94422,                0.91696,              0.0019314,              0.0019314,              0.0019314
                    106,                 1.5667,                0.75336,                0.86206,                0.83522,                    0.6,                 0.7001,                0.34839,                 1.5931,                  0.836,                0.87761,              0.0019307,              0.0019307,              0.0019307
                    107,                 1.6362,                0.75697,                0.86068,                0.87813,                0.61139,                0.70243,                0.34709,                 1.5671,                0.82412,                0.87747,                0.00193,                0.00193,                0.00193
                    108,                 1.6636,                0.77281,                0.87054,                0.82848,                0.62424,                0.69974,                0.34951,                 1.5155,                0.82479,                0.87209,              0.0019294,              0.0019294,              0.0019294
                    109,                 1.5334,                0.76114,                0.89395,                0.70131,                0.62424,                0.67073,                0.31608,                 1.7031,                0.88522,                0.89358,              0.0019287,              0.0019287,              0.0019287
                    110,                 1.5454,                0.73051,                0.89283,                0.72734,                0.59818,                0.67696,                0.31268,                 1.7667,                0.94354,                0.89147,              0.0019281,              0.0019281,              0.0019281
                    111,                 1.3945,                0.68358,                0.86509,                0.73333,                 0.6303,                0.71279,                0.36722,                  1.528,                 0.8363,                0.86396,              0.0019274,              0.0019274,              0.0019274
                    112,                 1.4895,                0.69088,                 0.8825,                0.80596,                0.65452,                0.73815,                 0.3837,                 1.5393,                0.79797,                0.87608,              0.0019267,              0.0019267,              0.0019267
                    113,                 1.6275,                0.73664,                0.88316,                0.76778,                0.63636,                 0.6995,                 0.3465,                 1.6113,                0.77543,                0.89161,              0.0019261,              0.0019261,              0.0019261
                    114,                  1.554,                0.72797,                0.85428,                0.84512,                 0.5622,                0.65811,                0.28277,                 1.8128,                0.81926,                0.90654,              0.0019254,              0.0019254,              0.0019254
                    115,                 1.5061,                0.73526,                0.85203,                0.84823,                 0.5697,                0.67072,                0.32568,                 1.6928,                0.80854,                0.89849,              0.0019248,              0.0019248,              0.0019248
                    116,                 1.4766,                0.72395,                0.85479,                0.85296,                0.59394,                0.70352,                0.34824,                 1.5537,                0.73628,                0.87267,              0.0019241,              0.0019241,              0.0019241
                    117,                  1.456,                0.70333,                0.86669,                0.81872,                0.62424,                0.72293,                0.35863,                 1.5927,                0.74903,                0.86936,              0.0019234,              0.0019234,              0.0019234
                    118,                 1.5301,                0.69863,                0.86766,                0.80463,                0.62403,                0.71037,                0.34077,                 1.6223,                0.76111,                0.86627,              0.0019228,              0.0019228,              0.0019228
                    119,                 1.5911,                 0.7272,                0.86173,                0.76611,                0.65511,                0.71501,                0.35422,                 1.5452,                0.75081,                0.86286,              0.0019221,              0.0019221,              0.0019221
                    120,                  1.519,                0.75597,                0.87657,                 0.7939,                0.62424,                0.70913,                0.35185,                 1.6547,                    0.8,                0.87371,              0.0019215,              0.0019215,              0.0019215
                    121,                 1.4892,                0.68581,                0.88952,                0.88224,                 0.5903,                0.71063,                0.34299,                 1.6852,                0.81332,                0.87733,              0.0019208,              0.0019208,              0.0019208
                    122,                 1.5109,                0.68874,                0.83319,                0.82741,                    0.6,                0.67798,                0.34342,                 1.6849,                0.80313,                0.88997,              0.0019201,              0.0019201,              0.0019201
                    123,                  1.452,                0.70601,                0.87098,                0.82336,                0.64848,                0.71549,                0.36575,                 1.4779,                0.73802,                0.87128,              0.0019195,              0.0019195,              0.0019195
                    124,                  1.536,                0.73182,                 0.8781,                0.82601,                0.66178,                0.72819,                0.36829,                 1.5012,                0.74299,                0.86927,              0.0019188,              0.0019188,              0.0019188
                    125,                 1.4808,                0.70241,                0.85386,                0.84713,                0.58182,                0.70309,                0.34725,                 1.6468,                0.78469,                0.87287,              0.0019182,              0.0019182,              0.0019182
                    126,                 1.5967,                0.72649,                0.86935,                0.78066,                0.64242,                0.72409,                0.34215,                 1.6614,                0.76864,                0.87119,              0.0019175,              0.0019175,              0.0019175
                    127,                 1.4694,                0.72439,                 0.8653,                0.83395,                0.63922,                0.72149,                0.35071,                 1.6362,                0.75804,                0.87673,              0.0019168,              0.0019168,              0.0019168
                    128,                 1.4053,                 0.6927,                0.83313,                0.85279,                0.66061,                0.74304,                 0.3636,                 1.5652,                0.76213,                 0.8696,              0.0019162,              0.0019162,              0.0019162
                    129,                 1.5661,                0.71391,                0.87444,                0.81163,                0.65284,                0.72934,                0.35923,                  1.568,                0.75023,                0.86394,              0.0019155,              0.0019155,              0.0019155
                    130,                 1.6685,                0.76211,                0.89892,                0.85334,                0.56421,                0.66968,                0.29946,                 1.7097,                0.76794,                0.87623,              0.0019149,              0.0019149,              0.0019149
                    131,                 1.5659,                 0.7046,                0.88106,                0.80726,                    0.6,                0.67672,                0.33231,                 1.5447,                0.76452,                0.87117,              0.0019142,              0.0019142,              0.0019142
                    132,                  1.571,                0.73384,                0.85498,                0.81883,                0.59394,                0.68392,                0.36043,                 1.4894,                0.77998,                0.86443,              0.0019135,              0.0019135,              0.0019135
